,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
2600,"Feline (with Polo G & Trippie Redd)Juice WRLD, Polo G, Trippie Redd",5R4Yrc2j4jw1itr4hKcN26,Feline (with Polo G & Trippie Redd),"Juice WRLD, Polo G, Trippie Redd",gb,2021 Q4,592385,107,107,107,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
2448,"Ex For A Reason (with JT from City Girls)Summer Walker, JT, City Girls",1De7cOMrdUnVpjWBaowMg4,Ex For A Reason (with JT from City Girls),"Summer Walker, JT, City Girls",gb,2021 Q4,591719,68,68,68,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-11
5207,"Money Can't Buy HeartD-Block Europe, Young Adz",6xfIfBfFQQSQjVNNgIjmmx,Money Can't Buy Heart,"D-Block Europe, Young Adz",gb,2021 Q4,585780,89,89,89,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-25
8192,The Moment I Knew (Taylor's Version)Taylor Swift,0NRHj8hDwwmSPaA41o379r,The Moment I Knew (Taylor's Version),Taylor Swift,gb,2021 Q4,582202,92,92,92,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
2228,DoomJuice WRLD,38Vh0iUlilcvnBNWS4saSD,Doom,Juice WRLD,gb,2021 Q4,568609,113,113,113,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
1817,"Daily Duppy (feat. GRM Daily)Central Cee, GRM Daily",1JeLx7sGn3LzHLwCzd6swY,Daily Duppy (feat. GRM Daily),"Central Cee, GRM Daily",gb,2021 Q4,567278,121,121,121,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-30
9635,lemme land?Canking,3NL1kmzfIGDWGVQLjkJCHc,lemme land?,Canking,gb,2021 Q4,561819,66,66,94,2,1.0,1.0,94.0,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-07
5657,NoLittle Mix,2pY363VS9q7tAawpqmpbH3,No,Little Mix,gb,2021 Q4,560872,97,97,97,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
2940,Girl At Home (Taylor's Version)Taylor Swift,0DMVrlMUn01M0IcpDbwgu7,Girl At Home (Taylor's Version),Taylor Swift,gb,2021 Q4,558189,99,99,99,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
5673,Not EnoughJuice WRLD,59NTlSZN6G2eCs4jcf46C0,Not Enough,Juice WRLD,gb,2021 Q4,555034,117,117,117,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-12-16
6160,PerfumeLovejoy,3Fn9orcpHw3TuqfB2NmZGC,Perfume,Lovejoy,gb,2021 Q4,551904,84,84,84,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-21
5780,"Oh Yeah, You Gonna Cry?Lovejoy",1jas4QjqGPF9jIYukRMKke,"Oh Yeah, You Gonna Cry?",Lovejoy,gb,2021 Q4,550375,85,85,85,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-10-21
6402,"Put On A SmileBruno Mars, Anderson .Paak, Silk Sonic",5U4laaEEChW8FOtZXCu8C7,Put On A Smile,"Bruno Mars, Anderson .Paak, Silk Sonic",gb,2021 Q4,542911,105,105,105,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
1020,"Blast OffBruno Mars, Anderson .Paak, Silk Sonic",21afd9hCjpQ6lE5DPbcPHP,Blast Off,"Bruno Mars, Anderson .Paak, Silk Sonic",gb,2021 Q4,541615,106,106,106,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2021-11-18
